zip_code,start_date,appts,listings
78009,2020-06-16,50,16.000000001875
78009,2020-07-01,60,11.0
78009,2020-07-16,34,12.0
78009,2020-08-01,29,10.0
78009,2020-08-16,54,15.0
78009,2020-09-01,47,15.0
78009,2020-09-16,33,7.0
78009,2020-10-01,37,8.0
78009,2020-10-16,35,8.0
78009,2020-11-01,46,9.0
78009,2020-11-16,22,7.0
78009,2020-12-01,15,8.0
78010,2018-01-01,1,1.0
78010,2018-03-16,5,2.0
78010,2018-04-01,3,1.0
78010,2018-04-16,4,3.0
78010,2018-05-01,13,4.0
78010,2018-05-16,5,2.0
78010,2018-06-01,5,4.0
78010,2018-06-16,8,3.0
78010,2018-07-01,3,2.0
78010,2018-07-16,1,1.0
78010,2018-08-01,3,1.0
78010,2018-08-16,1,1.0
78010,2018-12-01,1,1.0
78010,2019-01-01,2,1.0
78010,2019-01-16,1,1.0
78010,2019-02-01,1,1.0
78010,2019-02-16,1,1.0
78010,2019-03-01,1,1.0
78010,2019-03-16,2,1.0
78010,2019-04-16,2,1.0
78010,2019-05-01,2,2.0
78010,2019-06-01,1,1.0
78010,2019-06-16,6,2.0
78010,2019-07-01,2,1.0
78010,2019-07-16,7,3.0
78010,2019-08-01,2,2.0
78010,2019-08-16,1,1.0
78010,2019-11-01,1,1.0
78010,2020-01-01,2,2.0
78010,2020-02-01,1,1.0
78010,2020-02-16,1,1.0
78010,2020-04-16,1,1.0
78010,2020-05-01,6,3.0
78010,2020-05-16,4,3.0
78010,2020-06-01,1,1.0
78010,2020-06-16,3,1.0
78010,2020-07-01,4,3.0
78010,2020-07-16,4,3.0
78010,2020-08-01,11,2.0
78010,2020-08-16,7,4.0
78010,2020-09-01,3,2.0
78010,2020-10-16,6,3.0
78010,2020-11-01,4,3.0
78010,2020-11-16,12,4.0
78010,2020-12-01,3,3.0
78011,2018-01-01,1,1.0
78011,2018-01-16,1,1.0
78011,2018-02-01,1,1.0
78011,2018-02-16,3,3.0
78011,2018-03-16,1,1.0
78011,2018-04-01,1,1.0
78011,2018-04-16,2,1.0
78011,2018-05-01,2,2.0
78011,2018-05-16,1,1.0
78011,2018-06-01,1,1.0
78011,2018-06-16,4,3.0
78011,2018-07-01,5,3.0
78011,2018-08-01,2,1.0
78011,2018-08-16,1,1.0
78011,2018-09-16,5,5.0
78011,2018-10-01,1,1.0
78011,2018-10-16,2,1.0
78011,2018-11-16,8,5.0
78011,2018-12-01,3,2.0
78011,2019-01-16,2,1.0
78011,2019-02-01,1,1.0
78011,2019-02-16,5,2.0
78011,2019-03-01,3,3.0
78011,2019-03-16,6,2.0
78011,2019-04-01,6,2.0
78011,2019-04-16,2,1.0
78011,2019-05-01,2,1.0
78011,2019-05-16,1,1.0
78011,2019-06-01,5,1.0
78011,2019-06-16,3,2.0
78011,2019-07-01,2,1.0
78011,2019-07-16,3,2.0
78011,2019-08-01,5,2.0
78011,2019-08-16,1,1.0
78011,2019-09-01,2,1.0
78011,2019-09-16,2,1.0
78011,2019-10-01,4,2.0
78011,2019-10-16,3,3.0
78011,2019-11-01,2,2.0
78011,2019-11-16,6,5.0
78011,2019-12-01,1,1.0
78011,2019-12-16,2,1.0
78011,2020-01-01,2,2.0
78011,2020-01-16,1,1.0
78011,2020-02-01,3,3.0
78011,2020-02-16,1,1.0
78011,2020-03-01,1,1.0
78011,2020-03-16,1,1.0
78011,2020-04-16,3,3.0
78011,2020-05-01,7,4.0
78011,2020-05-16,4,3.0
78011,2020-06-01,6,3.0
78011,2020-06-16,2,1.0
78011,2020-07-16,6,2.0
78011,2020-08-01,6,3.0
78011,2020-08-16,3,3.0
78011,2020-09-16,5,4.0
78011,2020-10-01,3,3.0
78011,2020-11-01,2,2.0
78011,2020-11-16,1,1.0
78013,2018-01-01,13,8.0
78013,2018-01-16,26,12.0
78013,2018-02-01,12,8.0
78013,2018-02-16,21,10.0
78013,2018-03-01,44,16.0
78013,2018-03-16,49,20.0
78013,2018-04-01,35,20.0
78013,2018-04-16,55,19.0
78013,2018-05-01,37,16.0
78013,2018-05-16,43,16.0
78013,2018-06-01,41,14.0
78013,2018-06-16,31,16.0
78013,2018-07-01,25,11.0
78013,2018-07-16,30,16.0
78013,2018-08-01,7,7.0
78013,2018-08-16,22,15.0
78013,2018-09-01,12,8.0
78013,2018-09-16,24,11.0
78013,2018-10-01,22,11.0
78013,2018-10-16,16,7.0
78013,2018-11-01,9,8.0
78013,2018-11-16,15,8.0
78013,2018-12-01,6,4.0
78013,2018-12-16,6,3.0
78013,2019-01-01,16,8.0
78013,2019-01-16,17,6.0
78013,2019-02-01,25,9.0
78013,2019-02-16,18,11.0
78013,2019-03-01,15,8.0
78013,2019-03-16,31,11.0
78013,2019-04-01,27,14.0
78013,2019-04-16,19,9.0
78013,2019-05-01,20,12.0
78013,2019-05-16,23,11.0
78013,2019-06-01,33,11.0
78013,2019-06-16,29,13.999999994
78013,2019-07-01,20,7.0
78013,2019-07-16,32,12.0
78013,2019-08-01,21,11.0
78013,2019-08-16,23,13.0
78013,2019-09-01,20,14.0
78013,2019-09-16,22,12.0
78013,2019-10-01,18,10.0
78013,2019-10-16,11,7.0
78013,2019-11-01,12,10.0
78013,2019-11-16,13,9.0
78013,2019-12-01,14,13.0
78013,2019-12-16,17,11.0
78013,2020-01-01,19,12.0
78013,2020-01-16,11,8.0
78013,2020-02-01,16,11.0
78013,2020-02-16,19,12.0
78013,2020-03-01,14,7.0
78013,2020-03-16,13,7.0
78013,2020-04-01,11,5.0
78013,2020-04-16,24,12.0
78013,2020-05-01,27,12.0
78013,2020-05-16,18,7.0
78013,2020-06-01,26,10.0
78013,2020-06-16,24,13.0
78013,2020-07-01,32,13.000000004285715
78013,2020-07-16,23,13.0
78013,2020-08-01,29,8.0
78013,2020-08-16,31,11.0
78013,2020-09-01,19,3.0
78013,2020-09-16,18,7.0
78013,2020-10-01,25,10.0
78013,2020-10-16,15,11.0
78013,2020-11-01,17,7.0
78013,2020-11-16,6,5.0
78013,2020-12-01,8,7.0
78015,2018-01-01,336,107.99999999714622
78015,2018-01-16,280,99.0000000083077
78015,2018-02-01,360,116.99999999662815
78015,2018-02-16,346,113.0000000023077
78015,2018-03-01,461,143.99999999332894
78015,2018-03-16,566,163.00000002491558
78015,2018-04-01,525,151.99999998863638
78015,2018-04-16,339,117.99999999875249
78015,2018-05-01,379,140.99999999062987
78015,2018-05-16,515,154.9999999907857
78015,2018-06-01,515,141.00000001908836
78015,2018-06-16,491,144.0000000102026
78015,2018-07-01,402,151.9999999965492
78015,2018-07-16,489,148.9999999906476
78015,2018-08-01,388,128.99999999764773
78015,2018-08-16,335,121.99999999407143
78015,2018-09-01,341,115.9999999935804
78015,2018-09-16,320,120.00000000156474
78015,2018-10-01,226,100.00000002035715
78015,2018-10-16,272,105.00000001103571
78015,2018-11-01,258,103.99999999925
78015,2018-11-16,254,101.00000001280769
78015,2018-12-01,231,94.0000000072857
78015,2018-12-16,203,82.9999999963077
78015,2019-01-01,288,99.00000000375
78015,2019-01-16,371,101.99999998805845
78015,2019-02-01,257,97.99999999001922
78015,2019-02-16,321,91.9999999931887
78015,2019-03-01,428,125.00000000766072
78015,2019-03-16,570,140.99999999521668
78015,2019-04-01,523,140.99999999444958
78015,2019-04-16,365,118.00000000830845
78015,2019-05-01,449,130.99999999706085
78015,2019-05-16,410,129.0000000266868
78015,2019-06-01,423,139.00000000639176
78015,2019-06-16,451,146.99999998803028
78015,2019-07-01,433,140.0000000099684
78015,2019-07-16,420,148.0000000275608
78015,2019-08-01,457,132.00000000910714
78015,2019-08-16,395,133.00000001280767
78015,2019-09-01,339,120.00000000310713
78015,2019-09-16,267,97.9999999963077
78015,2019-10-01,328,107.99999999323137
78015,2019-10-16,295,105.99999999882142
78015,2019-11-01,286,107.00000000905845
78015,2019-11-16,334,120.99999999922976
78015,2019-12-01,338,116.00000000334995
78015,2019-12-16,261,98.000000003
78015,2020-01-01,362,105.99999999566482
78015,2020-01-16,455,119.00000000424114
78015,2020-02-01,537,133.99999999950123
78015,2020-02-16,457,125.00000001838809
78015,2020-03-01,494,137.99999998275
78015,2020-03-16,290,108.00000000810067
78015,2020-04-01,294,114.00000001757142
78015,2020-04-16,540,146.9999999898877
78015,2020-05-01,656,160.99999999952266
78015,2020-05-16,693,173.0000000079025
78015,2020-06-01,705,166.00000001264212
78015,2020-06-16,630,154.0000000122894
78015,2020-07-01,616,154.00000000045756
78015,2020-07-16,618,144.999999988
78015,2020-08-01,530,126.99999999614286
78015,2020-08-16,559,136.00000002088024
78015,2020-09-01,498,130.00000001312497
78015,2020-09-16,441,110.00000000284341
78015,2020-10-01,387,103.99999999012032
78015,2020-10-16,400,100.99999999908097
78015,2020-11-01,461,89.00000000308651
78015,2020-11-16,350,79.00000000876624
78015,2020-12-01,308,81.9999999963822
78016,2018-01-01,15,7.0
78016,2018-01-16,20,10.0
78016,2018-02-01,13,7.0
78016,2018-02-16,12,9.0
78016,2018-03-01,22,11.0
78016,2018-03-16,31,12.0
78016,2018-04-01,25,12.0
78016,2018-04-16,37,14.0
78016,2018-05-01,44,11.0
78016,2018-05-16,34,12.0
78016,2018-06-01,15,8.0
78016,2018-06-16,17,9.0
78016,2018-07-01,17,8.0
78016,2018-07-16,24,11.0
78016,2018-08-01,14,10.0
78016,2018-08-16,24,8.0
78016,2018-09-01,28,10.0
78016,2018-09-16,15,9.0
78016,2018-10-01,30,14.0
78016,2018-10-16,22,13.0
78016,2018-11-01,42,18.0
78016,2018-11-16,47,16.0
78016,2018-12-01,25,11.0
78016,2018-12-16,16,10.0
78016,2019-01-01,36,10.0
78016,2019-01-16,24,13.0
78016,2019-02-01,44,13.0
78016,2019-02-16,46,11.0
78016,2019-03-01,41,14.0
78016,2019-03-16,61,13.0
78016,2019-04-01,27,12.0
78016,2019-04-16,44,19.0
78016,2019-05-01,25,12.0
78016,2019-05-16,34,20.0
78016,2019-06-01,22,11.0
78016,2019-06-16,35,16.0
78016,2019-07-01,39,18.0
78016,2019-07-16,37,17.0
78016,2019-08-01,47,16.0
78016,2019-08-16,25,15.0
78016,2019-09-01,25,12.0
78016,2019-09-16,9,7.0
78016,2019-10-01,7,4.0
78016,2019-10-16,19,10.0
78016,2019-11-01,23,11.0
78016,2019-11-16,19,10.0
78016,2019-12-01,17,11.0
78016,2019-12-16,27,12.0
78016,2020-01-01,13,7.0
78016,2020-01-16,15,8.0
78016,2020-02-01,29,14.0
78016,2020-02-16,34,18.0
78016,2020-03-01,32,12.0
78016,2020-03-16,26,14.0
78016,2020-04-01,26,10.0
78016,2020-04-16,36,16.0
78016,2020-05-01,49,17.0
78016,2020-05-16,81,22.0
78016,2020-06-01,30,13.0
78016,2020-06-16,35,21.0
78016,2020-07-01,27,10.0
78016,2020-07-16,22,11.0
78016,2020-08-01,12,8.0
78016,2020-08-16,25,12.000000007499999
78016,2020-09-01,22,10.0
78016,2020-09-16,44,21.0
78016,2020-10-01,29,12.0
78016,2020-10-16,57,16.0
78016,2020-11-01,45,18.999999994
78016,2020-11-16,39,16.0
78016,2020-12-01,26,13.0
78023,2018-01-01,427,116.00000000544537
78023,2018-01-16,510,122.99999999652101
78023,2018-02-01,428,125.99999998424687
78023,2018-02-16,409,121.0000000005934
78023,2018-03-01,627,130.99999999622116
78023,2018-03-16,611,136.0000000117857
78023,2018-04-01,625,124.00000000945141
78023,2018-04-16,585,137.99999999588573
78023,2018-05-01,644,150.99999999913786
78023,2018-05-16,632,140.00000001015036
78023,2018-06-01,520,136.0000000018311
78023,2018-06-16,682,147.00000001515392
78023,2018-07-01,610,146.99999998919856
78023,2018-07-16,579,153.0000000019477
78023,2018-08-01,652,157.00000000170562
78023,2018-08-16,530,149.99999999427274
78023,2018-09-01,513,131.9999999928718
78023,2018-09-16,316,105.99999998060714
78023,2018-10-01,361,121.00000000102273
78023,2018-10-16,357,104.99999999252884
78023,2018-11-01,272,91.99999998313544
78023,2018-11-16,289,94.00000000198528
78023,2018-12-01,290,95.00000000348214
78023,2018-12-16,253,85.000000006075
78023,2019-01-01,340,102.00000000367133
78023,2019-01-16,344,97.99999999985315
78023,2019-02-01,388,100.0
78023,2019-02-16,377,107.00000002116482
78023,2019-03-01,475,118.00000000457894
78023,2019-03-16,613,127.99999999442856
78023,2019-04-01,497,124.0000000031948
78023,2019-04-16,434,108.00000000896273
78023,2019-05-01,546,140.99999999050203
78023,2019-05-16,564,144.9999999938187
78023,2019-06-01,633,155.99999999359002
78023,2019-06-16,500,135.99999999046898
78023,2019-07-01,495,135.99999998805845
78023,2019-07-16,565,139.99999998731647
78023,2019-08-01,554,147.9999999670359
78023,2019-08-16,505,140.00000000302117
78023,2019-09-01,486,141.99999996852762
78023,2019-09-16,403,116.99999999137674
78023,2019-10-01,405,120.99999999717532
78023,2019-10-16,429,114.00000000321428
78023,2019-11-01,445,115.00000001194304
78023,2019-11-16,343,101.000000006
78023,2019-12-01,385,93.99999999107793
78023,2019-12-16,234,84.99999999062986
78023,2020-01-01,410,106.00000001800674
78023,2020-01-16,388,104.99999999530715
78023,2020-02-01,432,103.99999999802272
78023,2020-02-16,480,107.00000000767047
78023,2020-03-01,489,119.000000016125
78023,2020-03-16,288,93.000000003
78023,2020-04-01,283,96.0000000224278
78023,2020-04-16,440,117.0000000156077
78023,2020-05-01,369,101.99999999882144
78023,2020-05-16,620,125.99999997493832
78023,2020-06-01,506,126.00000000907895
78023,2020-06-16,528,116.99999999972229
78023,2020-07-01,454,108.00000001223616
78023,2020-07-16,580,122.000000003
78023,2020-08-01,515,122.00000000319336
78023,2020-08-16,628,122.99999999291467
78023,2020-09-01,482,106.00000000157894
78023,2020-09-16,376,96.00000000146105
78023,2020-10-01,423,100.99999998905318
78023,2020-10-16,490,107.99999998635809
78023,2020-11-01,392,91.00000000231299
78023,2020-11-16,459,110.99999999925794
78023,2020-12-01,401,85.99999999860714
78026,2018-01-01,8,5.0
78026,2018-01-16,12,7.0
78026,2018-02-01,7,3.0
78026,2018-02-16,1,1.0
78026,2018-03-01,11,5.0
78026,2018-03-16,28,10.0
78026,2018-04-01,9,5.0
78026,2018-04-16,5,4.0
78026,2018-05-01,12,8.0
78026,2018-05-16,21,5.0
78026,2018-06-01,23,8.0
78026,2018-06-16,12,6.0
78026,2018-07-01,11,5.0
78026,2018-07-16,10,7.0
78026,2018-08-01,4,4.0
78026,2018-08-16,14,6.0
78026,2018-09-01,7,4.0
78026,2018-09-16,11,8.0
78026,2018-10-01,4,3.0
78026,2018-10-16,8,5.0
78026,2018-11-01,2,2.0
78026,2018-11-16,3,2.0
78026,2018-12-01,4,3.0
78026,2018-12-16,1,1.0
78026,2019-01-01,5,5.0
78026,2019-01-16,6,4.0
78026,2019-02-01,5,4.0
78026,2019-02-16,15,8.0
78026,2019-03-01,33,13.0
78026,2019-03-16,22,10.0
78026,2019-04-01,17,9.0
78026,2019-04-16,11,8.0
78026,2019-05-01,48,10.0
78026,2019-05-16,10,4.0
78026,2019-06-01,11,6.0
78026,2019-06-16,9,6.0
78026,2019-07-01,8,7.0
78026,2019-07-16,7,4.0
78026,2019-08-01,11,5.0
78026,2019-08-16,20,8.0
78026,2019-09-01,15,5.0
78026,2019-09-16,20,9.0
78026,2019-10-01,5,4.0
78026,2019-10-16,19,9.0
78026,2019-11-01,23,9.0
78026,2019-11-16,9,7.0
78026,2019-12-01,18,11.0
78026,2019-12-16,20,11.0
78026,2020-01-01,17,9.0
78026,2020-01-16,24,10.0
78026,2020-02-01,25,7.0
78026,2020-02-16,24,11.0
78026,2020-03-01,34,11.0
78026,2020-03-16,40,15.0
78026,2020-04-01,6,4.0
78026,2020-04-16,22,11.0
78026,2020-05-01,23,10.0
78026,2020-05-16,30,13.0
78026,2020-06-01,25,11.0
78026,2020-06-16,28,11.0
78026,2020-07-01,35,14.0
78026,2020-07-16,32,12.0
78026,2020-08-01,37,15.0
78026,2020-08-16,23,11.0
78026,2020-09-01,14,10.0
78026,2020-09-16,14,10.000000007499999
78026,2020-10-01,27,10.0
78026,2020-10-16,10,5.0
78026,2020-11-01,15,7.0
78026,2020-11-16,15,8.0
78026,2020-12-01,29,12.0
78028,2018-01-01,16,8.0
78028,2018-01-16,24,9.0
78028,2018-02-01,14,5.0
78028,2018-02-16,11,5.0
78028,2018-03-01,1,1.0
78028,2018-03-16,12,3.0
78028,2018-04-01,7,2.0
78028,2018-04-16,16,7.0
78028,2018-05-01,8,6.0
78028,2018-05-16,7,4.0
78028,2018-06-01,10,6.0
78028,2018-06-16,13,9.0
78028,2018-07-01,10,6.0
78028,2018-07-16,15,9.0
78028,2018-08-01,4,3.0
78028,2018-08-16,4,4.0
78028,2018-09-01,11,5.0
78028,2018-09-16,5,2.0
78028,2018-10-01,15,3.0
78028,2018-10-16,6,4.0
78028,2018-11-01,7,2.0
